Zip Code,Total Profit,Median Profit
2128,15729967.940000001,264205.0
2129,14556388.62,250893.0
2119,8027967.549999999,534978.5
2114,9949605.38,703751.46
2113,1089939.02,154280.0
2130,17058346.169999998,285695.0
2110,412778.46,128279.46000000002
2109,40350.0,40350.0
2111,188015.0,67081.0
2118,24671227.050000004,201455.0
2116,8416294.27,258804.3
2115,6425834.3100000005,101750.0
2108,11086372.25,1052909.925
2112,170390.0,170390.0
2215,2112750.0,260455.0
2127,14714925.86,328344.0
2210,850350.0,425175.0
2125,12937085.559999999,397525.0
2120,25533545.9,1494657.5
2121,5816404.44,234554.655
2124,15573616.4,394060.0
2126,4841187.49,279080.0
2122,7838990.31,252211.95500000002
2136,14159823.33,291220.5
2131,11362427.950000001,267314.0
2132,19771313.16,318492.4
2134,1279177.8,639588.9
2135,8854523.84,396368.0
